Date,Channel,Spend,Impressions,Clicks,Conversions,Revenue
2026-06-01,Google Ads,150,3000,120,4.8,600
2026-06-01,Meta Ads,200,5000,180,6.3,550
2026-06-02,Google Ads,160,3200,130,5.2,650
2026-06-02,Meta Ads,210,5200,190,6.6,580
2026-06-03,Google Ads,140,2800,110,4.4,590
2026-06-03,Meta Ads,195,4900,175,6.1,530
2026-06-04,Google Ads,155,3100,125,5.0,620
2026-06-04,Meta Ads,205,5100,185,6.5,570
2026-06-05,Google Ads,180,3600,150,6.0,750
2026-06-05,Meta Ads,250,6000,220,7.7,680
2026-06-06,Google Ads,130,2600,100,4.0,500
2026-06-06,Meta Ads,170,4200,140,4.9,430
2026-06-07,Google Ads,135,2700,105,4.2,520
2026-06-07,Meta Ads,175,4300,145,5.1,450
2026-06-08,Google Ads,150,3000,120,4.8,610
2026-06-08,Meta Ads,200,5000,180,6.3,560
2026-06-09,Google Ads,165,3300,135,5.4,670
2026-06-09,Meta Ads,220,5500,200,7.0,610
2026-06-10,Google Ads,170,3400,140,5.6,700
2026-06-10,Meta Ads,230,5800,210,7.35,640
